K_DECTOP,LIB_CODE,LIB_NAME,LIB_ADDR,LIB_CITY,LIB_ZIP,LIB_ZIP4,LIB_PHONE,LIB_CNTY,C_OUT_TYP,C_MSA,C_SER_POP,LIB_NUM_BM,K_SEQ,STABR,PUB_FIPS,YR
WV0026,025A,BROOKS HILL,"RT 6, BOX 480",BUCKHANNON,26201,  -1,3044725475,Upshur,BR,NO,A,0,003,WV,54,93
WV0046,045A,BURLINGTON,PO BOX 74,FORT ASHBY,26719,  -1,3042984493,Mineral,BR,NC,B,0,003,WV,54,93
WV0046,045B,FT ASHBY,PO BOX 61,BURLINGTON,26710,  -1,3042893690,Mineral,BR,NC,D,0,004,WV,54,93
WV0048,047A,MT STORM,BOX #5,MT STORM,26739,  -1,3046937242,Grant,BR,NO,C,0,003,WV,54,93
WV0049,048A,BRANDYWINE,                                 -1,BRANDYWINE,26802,  -1,3043587038,Pendleton,BR,NO,B,0,003,WV,54,93
WV0049,048B,CIRCLEVILLE,                                 -1,CIRCLEVILLE,26804,  -1,3045672418,Pendleton,BR,NO,B,0,004,WV,54,93
WV0051,050A,BAKER,BOX #98,BAKER,26801,  -1,3048975544,Hardy,BR,NO,B,0,003,WV,54,93
WV0053,052A,SOUTH BERKELEY,                                 -1,FALLING WATERS,25419,  -1,3042743443,Berkeley,BR,NO,B,0,003,WV,54,93
WV0053,052B,NORTH BERKELEY,PO BOX #7,INWOOD,25428,  -1,3042292220,Berkeley,BR,NO,B,0,004,WV,54,93
WV0053,052C,NAYLOR MEMORIAL,                                 -1,HEDGESVILLE,25427,  -1,3047543949,Berkeley,BR,NO,B,0,005,WV,54,93
WV0060,059A,HILDEBRAND,99 N 17TH ST,WHEELING,26003,  -1,3042771800,Ohio,BR,CC,B,0,003,WV,54,93
WV0061,060A,BENWOOD-MCMECHEN,201 MARSHALL ST,MCMECHEN,26040,  -1,3042329720,Marshall,BR,NC,C,0,003,WV,54,93
WV0061,060B,CAMERON,44 MAIN ST,CAMERON,26033,  -1,3046862140,Marshall,BR,NC,B,0,004,WV,54,93
WV0061,060C,SAND HILL,RD 1,PROCTOR,26055,  -1,3044552950,Marshall,BR,NC,A,0,005,WV,54,93
WV0061,060D,ST. JOSEPH,                                 -1,DALLAS,26036,  -1,3045475698,Marshall,BR,NC,A,0,006,WV,54,93
WV0071,070A,BRADSHAW,                                 -1,BRADSHAW,24817,  -1,3049675140,McDowell,BR,NO,A,0,003,WV,54,93
WV0071,070C,IAGER,                                 -1,IAEGER,24844,  -1,3049383825,McDowell,BR,NO,A,0,005,WV,54,93
WV0071,070D,NORTHFORK,                                 -1,NORTHFORK,24868,  -1,3048623243,McDowell,BR,NO,B,0,006,WV,54,93
WV0073,072A,MASON CITY,8 BROWN ST,MASON,25260,  -1,3047735580,Mason,BR,NO,B,0,003,WV,54,93
WV0073,072B,NEW HAVEN,106 MAIN ST,NEW HAVEN,25265,  -1,3048823252,Mason,BR,NO,B,0,004,WV,54,93
WV0073,072C,HANNAN,6760 ASHTON UPLAND,ASHTON,25503,  -1,3047436200,Mason,BR,NO,B,0,005,WV,54,93
WV0074,073A,RAVENSWOOD,323 VIRGINIA ST,RAVENSWOOD,26164,  -1,3043725343,Jackson,BR,NO,B,0,003,WV,54,93
WV0075,074A,FAIRVIEW,BOX 296/MAIN ST,FAIRVIEW,26570,  -1,3044491021,Marion,BR,NO,A,0,003,WV,54,93
WV0075,074B,MANNINGTON,BOX 348,MANNINGTON,26582,  -1,3049862803,Marion,BR,NO,C,0,004,WV,54,93
WV0077,076A,BARRETT-WHARTON,"RT 2, BOX 4",BARRETT,25013,  -1,3042476530,Boone,BR,NO,B,0,003,WV,54,93
WV0077,076B,RACINE,STAR ROUTE 425,RACINE,25165,  -1,3048378437,Boone,BR,NO,B,0,004,WV,54,93
WV0077,076C,WHITESVILLE,PO BOX 747,WHITESVILLE,25209,  -1,3048540196,Boone,BR,NO,B,0,005,WV,54,93
WV0078,077A,ANSTED,OAK ST/PO BOX 428,ANSTED,25812,  -1,3046585472,Fayette,BR,NO,B,0,003,WV,54,93
WV0078,077B,FAYETTEVILLE,200 W MAPLE AV,FAYETTEVILLE,25840,  -1,3045740070,Fayette,BR,NO,B,0,004,WV,54,93
WV0078,077C,MEADOW BRIDGE,PO BOX 354,MEADOW BRIDGE,25976,  -1,3044847942,Fayette,BR,NO,B,0,005,WV,54,93
WV0078,077D,GAULEY BRIDGE,PO BOX 487,GAULEY BRIDGE,25085,  -1,3046322172,Fayette,BR,NO,B,0,006,WV,54,93
WV0078,077E,MONTGOMERY,133 FIFTH AV,MONTGOMERY,25136,  -1,3044425665,Fayette,BR,NO,A,0,007,WV,54,93
WV0078,077F,MT.HOPE,500 MAIN ST,MT HOPE,25880,  -1,3048773260,Fayette,BR,NO,B,0,008,WV,54,93
WV0078,077G,OAK HILL,611 MAIN ST,OAK HILL,25901,  -1,3044699890,Fayette,BR,NO,D,0,009,WV,54,93
WV0079,078A,MULLENS,102 FOURTH ST,MULLENS,25882,  -1,3042946687,Wyoming,BR,NO,B,0,003,WV,54,93
WV0079,078B,OCEANA,PO BOX 1768,OCEANA,24870,  -1,3046826784,Wyoming,BR,NO,B,0,004,WV,54,93
WV0080,079A,FOLLENSBEE,150 ROCKDALE RD,FOLLANSBEE,26037,  -1,3045270860,Brooke,BR,NO,B,0,003,WV,54,93
WV0083,082A,QUINWOOD,BOX 157,QUINWOOD,25981,  -1,3044386741,Greenbrier,BR,NO,B,0,003,WV,54,93
WV0088,087A,BRANCHLAND,BOX 165,ALUM CREEK,25003,  -1,3047569211,Lincoln,BR,NO,D,0,003,WV,54,93
WV0088,087B,ALUM CREEK,BOX 278,BRANCHLAND,25506,  -1,3047787315,Lincoln,BR,NO,D,0,004,WV,54,93
